                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1386,                 2.2475,                 1.4213,                0.45225,                0.29995,                0.34621,                0.12989,                 1.7696,                 3.1633,                  2.637,             0.00047038,             0.00047038,             0.00047038
                      2,                0.95343,                  1.397,                 1.2529,                0.19884,                0.13946,                0.10284,                  0.037,                 2.2165,                  3.722,                 3.3593,             0.00092588,             0.00092588,             0.00092588
                      3,                0.98388,                 1.2432,                 1.2706,                 0.2126,                0.22784,                0.13893,                0.05156,                 2.3838,                 3.1948,                 3.3307,              0.0013604,              0.0013604,              0.0013604
                      4,                0.97742,                  1.116,                 1.2624,                0.29227,                0.30993,                0.19099,                0.07909,                 2.1158,                 3.0021,                 3.0371,              0.0013347,              0.0013347,              0.0013347
                      5,                0.92791,                0.99596,                 1.2253,                0.37133,                0.33152,                0.27047,                0.09966,                 2.0941,                 2.4941,                 2.8207,              0.0013347,              0.0013347,              0.0013347
                      6,                 0.9033,                0.94645,                 1.2188,                0.49313,                0.48093,                0.45961,                0.19316,                 2.1293,                 1.9433,                 2.8776,              0.0013032,              0.0013032,              0.0013032
                      7,                0.87001,                0.89753,                  1.205,                0.40173,                0.46571,                0.39471,                0.13946,                 2.2835,                 2.3992,                 3.1876,              0.0012718,              0.0012718,              0.0012718
                      8,                 0.8333,                0.82216,                  1.171,                0.57533,                0.53275,                 0.5362,                0.23788,                 2.0886,                 1.8034,                 2.7988,              0.0012404,              0.0012404,              0.0012404
                      9,                0.81903,                0.79769,                 1.1645,                0.36514,                0.34969,                0.30908,                 0.1292,                 2.1709,                 2.3113,                 2.8897,              0.0012089,              0.0012089,              0.0012089
                     10,                0.79136,                0.79105,                 1.1528,                0.64275,                0.66351,                0.68519,                0.30433,                 2.0099,                 1.3891,                 2.7054,              0.0011775,              0.0011775,              0.0011775
                     11,                0.77318,                0.73159,                 1.1433,                0.60321,                0.58323,                 0.6352,                0.29091,                 1.9526,                 1.6328,                 2.6108,              0.0011461,              0.0011461,              0.0011461
                     12,                0.76157,                0.71183,                 1.1312,                0.50466,                0.61935,                0.61286,                0.25574,                  2.091,                 1.7347,                 2.8613,              0.0011146,              0.0011146,              0.0011146
                     13,                0.75594,                0.69825,                 1.1285,                0.56469,                0.57891,                0.56606,                0.24127,                 2.0963,                  1.594,                 2.8414,              0.0010832,              0.0010832,              0.0010832
                     14,                0.74398,                0.67837,                 1.1236,                0.63634,                0.53107,                0.58776,                0.25161,                 2.2073,                 1.6846,                  3.002,              0.0010517,              0.0010517,              0.0010517
                     15,                0.72185,                0.65774,                 1.1149,                0.72379,                0.65213,                0.72132,                0.31741,                 1.9668,                 1.3273,                 2.7084,              0.0010203,              0.0010203,              0.0010203
                     16,                0.71711,                0.66206,                 1.1071,                0.63544,                0.58905,                0.62524,                0.28951,                 1.9855,                 1.5808,                 2.6979,             0.00098887,             0.00098887,             0.00098887
                     17,                0.68555,                0.62191,                 1.0893,                0.71134,                 0.6275,                0.67745,                0.31057,                 1.9806,                 1.3278,                 2.7454,             0.00095743,             0.00095743,             0.00095743
