                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1412,                 2.2438,                 1.4236,                0.56522,                0.27544,                0.34329,                 0.1438,                 1.7384,                 3.1529,                 2.5677,             0.00047052,             0.00047052,             0.00047052
                      2,                0.95272,                 1.4056,                 1.2564,                0.22249,                0.32972,                0.19114,                0.06951,                 2.0195,                 2.9026,                 3.0585,             0.00093965,             0.00093965,             0.00093965
                      3,                 1.0104,                 1.2584,                 1.2849,                 0.1654,                0.17808,                0.10468,                0.03757,                 2.4949,                 3.3016,                 3.2018,              0.0014015,              0.0014015,              0.0014015
                      4,                0.91502,                 1.0136,                 1.2242,                0.51734,                 0.3918,                0.38679,                0.15184,                 2.2748,                 2.2074,                 3.0264,              0.0013964,              0.0013964,              0.0013964
                      5,                0.87339,                0.93713,                 1.2025,                0.47401,                0.43788,                0.46502,                0.20439,                 1.9764,                 1.8902,                 2.6352,              0.0013964,              0.0013964,              0.0013964
                      6,                0.86064,                  0.883,                 1.1937,                0.57748,                0.49974,                0.52364,                0.23976,                 1.9235,                 1.7527,                  2.655,              0.0013855,              0.0013855,              0.0013855
                      7,                0.81604,                 0.8261,                 1.1676,                0.55152,                0.46957,                0.48842,                0.19141,                 2.2583,                 1.9111,                 2.8618,              0.0013746,              0.0013746,              0.0013746
                      8,                0.80905,                0.79736,                 1.1592,                0.58145,                0.65213,                0.63189,                0.28435,                 1.9061,                 1.5051,                 2.6037,              0.0013637,              0.0013637,              0.0013637
                      9,                0.78817,                 0.7676,                 1.1504,                0.35859,                0.56668,                0.39885,                 0.1766,                 1.9235,                 2.3138,                 2.7141,              0.0013528,              0.0013528,              0.0013528
                     10,                0.75982,                  0.747,                 1.1365,                0.51698,                0.49633,                0.46745,                0.18431,                 2.3175,                 1.7633,                 2.9856,              0.0013419,              0.0013419,              0.0013419
                     11,                0.75505,                0.70526,                 1.1282,                0.67406,                0.59711,                0.65859,                 0.3014,                 1.8932,                 1.5857,                 2.7244,              0.0013311,              0.0013311,              0.0013311
                     12,                0.73981,                0.69106,                 1.1178,                0.69558,                 0.6398,                0.71211,                0.32309,                 1.8698,                 1.3166,                 2.6527,              0.0013202,              0.0013202,              0.0013202
                     13,                0.72062,                0.68018,                 1.1114,                0.69492,                0.64718,                0.69115,                0.29298,                 2.0994,                 1.3866,                 2.8865,              0.0013093,              0.0013093,              0.0013093
                     14,                 0.7283,                0.66165,                 1.1134,                0.58962,                   0.46,                0.50973,                0.21477,                 2.1412,                 1.8717,                 3.0756,              0.0012984,              0.0012984,              0.0012984
                     15,                0.71451,                0.64414,                 1.1063,                0.66593,                0.61783,                0.65611,                0.30009,                 1.8765,                 1.4469,                 2.5668,              0.0012875,              0.0012875,              0.0012875
                     16,                 0.7091,                0.63689,                 1.1054,                0.62816,                 0.6228,                0.63078,                0.27773,                 2.0098,                 1.5312,                 2.7567,              0.0012766,              0.0012766,              0.0012766
                     17,                0.70699,                0.63102,                 1.1016,                 0.6674,                0.52654,                0.61237,                 0.2907,                 1.8565,                 1.7626,                  2.558,              0.0012658,              0.0012658,              0.0012658
                     18,                0.69983,                0.61964,                 1.0941,                0.66959,                0.52738,                0.59457,                0.28136,                 1.9221,                 1.6127,                  2.673,              0.0012549,              0.0012549,              0.0012549
                     19,                 0.6847,                0.62048,                 1.0869,                0.62624,                0.62871,                0.65842,                0.31333,                  1.908,                 1.4918,                 2.6361,               0.001244,               0.001244,               0.001244
                     20,                0.67332,                0.60932,                 1.0828,                0.68949,                0.62453,                0.67224,                 0.2909,                 1.9557,                 1.4721,                 2.6094,              0.0012331,              0.0012331,              0.0012331
                     21,                0.65873,                0.59592,                 1.0783,                0.71533,                0.56709,                0.70708,                 0.3349,                 1.8324,                  1.554,                 2.5566,              0.0012222,              0.0012222,              0.0012222
                     22,                 0.6659,                 0.5952,                 1.0819,                 0.7506,                0.74209,                0.77703,                0.36775,                 1.8489,                 1.1762,                 2.6372,              0.0012114,              0.0012114,              0.0012114
                     23,                0.65566,                0.58485,                 1.0763,                0.72754,                0.67814,                0.72755,                  0.356,                 1.8596,                 1.1317,                 2.6437,              0.0012005,              0.0012005,              0.0012005
